categoryLabel,category,title,file,url
Physiology Cardiovascular,Physiology_Cardiovascular,Blood Pressure Control,blood-pressure-control.html,animations/Physiology_Cardiovascular/blood-pressure-control.html
Physiology Cardiovascular,Physiology_Cardiovascular,Blood Pressure Measurement,blood-pressure-measurement.html,animations/Physiology_Cardiovascular/blood-pressure-measurement.html
Physiology Cardiovascular,Physiology_Cardiovascular,Bloodflow,BloodFLow.html,animations/Physiology_Cardiovascular/BloodFLow.html
Physiology Cardiovascular,Physiology_Cardiovascular,Einthovens Triangle Animation,einthovens_triangle_animation.html,animations/Physiology_Cardiovascular/einthovens_triangle_animation.html
Physiology Cardiovascular,Physiology_Cardiovascular,Heart Cells,Heart_cells.html,animations/Physiology_Cardiovascular/Heart_cells.html
Physiology Cardiovascular,Physiology_Cardiovascular,Local Blood Flow Control,local-blood-flow-control.html,animations/Physiology_Cardiovascular/local-blood-flow-control.html
Physiology Cardiovascular,Physiology_Cardiovascular,Movement Across Capillaries,movement-across-capillaries.html,animations/Physiology_Cardiovascular/movement-across-capillaries.html
Physiology Digestive Urinary,Physiology_Digestive_Urinary,CYP450 Animation,cyp450-animation.html,animations/Physiology_Digestive_Urinary/cyp450-animation.html
Physiology Digestive Urinary,Physiology_Digestive_Urinary,Glomerulus Animation,Glomerulus-animation.html,animations/Physiology_Digestive_Urinary/Glomerulus-animation.html
Physiology Digestive Urinary,Physiology_Digestive_Urinary,Loop Of Henle Animation,loop-of-henle-animation.html,animations/Physiology_Digestive_Urinary/loop-of-henle-animation.html
Physiology Digestive Urinary,Physiology_Digestive_Urinary,Nutrient Absorption Animation,nutrient_absorption_animation.html,animations/Physiology_Digestive_Urinary/nutrient_absorption_animation.html
Physiology Endocrine,Physiology_Endocrine,Hormone Quiz,hormone_quiz.html,animations/Physiology_Endocrine/hormone_quiz.html
Physiology Integument,Physiology_Integument,Tanning Feedback Animation,tanning-feedback-animation.html,animations/Physiology_Integument/tanning-feedback-animation.html
Physiology Nervous System Autonomic,Physiology_Nervous_System_Autonomic,Autonomic Nervous System Animation,autonomic-nervous-system-animation.html,animations/Physiology_Nervous_System_Autonomic/autonomic-nervous-system-animation.html
Physiology Nervous System Autonomic,Physiology_Nervous_System_Autonomic,Autonomic Quiz,autonomic-quiz.html,animations/Physiology_Nervous_System_Autonomic/autonomic-quiz.html
Physiology Reproductive,Physiology_Reproductive,Counter Current Heat Exchange,counter-current-heat-exchange.html,animations/Physiology_Reproductive/counter-current-heat-exchange.html
Physiology Reproductive,Physiology_Reproductive,HPO Ovarian Cycle Animation,hpo-ovarian-cycle-animation.html,animations/Physiology_Reproductive/hpo-ovarian-cycle-animation.html
Physiology Reproductive,Physiology_Reproductive,Spermatogenesis HPT Axis,spermatogenesis-hpt-axis.html,animations/Physiology_Reproductive/spermatogenesis-hpt-axis.html
Physiology Respiratory,Physiology_Respiratory,Carbon Dioxide Transport,carbon-dioxide-transport.html,animations/Physiology_Respiratory/carbon-dioxide-transport.html
Physiology Respiratory,Physiology_Respiratory,Oxygen Hemoglobin Curve,oxygen_hemoglobin_curve.html,animations/Physiology_Respiratory/oxygen_hemoglobin_curve.html
Physiology Respiratory,Physiology_Respiratory,Partial Pressures Gas Solubility,partial-pressures-gas-solubility.html,animations/Physiology_Respiratory/partial-pressures-gas-solubility.html
Physiology Respiratory,Physiology_Respiratory,Spirometry Animation,spirometry-animation.html,animations/Physiology_Respiratory/spirometry-animation.html
Physiology Respiratory,Physiology_Respiratory,Thoracic Pleura Animation,thoracic_pleura_animation.html,animations/Physiology_Respiratory/thoracic_pleura_animation.html
Physiology Respiratory,Physiology_Respiratory,V/Q Ratio,vq-ratio.html,animations/Physiology_Respiratory/vq-ratio.html
Physiology Skeletal,Physiology_Skeletal,Bone Cell Control,Bone_cell_control.html,animations/Physiology_Skeletal/Bone_cell_control.html
Scaling,Scaling,Cell Shape Surface Area Animation,cell_shape_surface_area_animation.html,animations/Scaling/cell_shape_surface_area_animation.html
Scaling,Scaling,Cube Scaling Animation,cube-scaling-animation.html,animations/Scaling/cube-scaling-animation.html
Scaling,Scaling,Limb Scaling And Posture,limb_scaling_and_posture.html,animations/Scaling/limb_scaling_and_posture.html
